web_scraper_order,web_scraper_start_url,data,image
"1772174415-1","https://www.cssdesignawards.com/wotd-award-winners","Good Fella","https://www.cssdesignawards.com/cdasites/2026/202602/20260218035840.jpg"
"1772174415-2","https://www.cssdesignawards.com/wotd-award-winners","Lando Norris","https://www.cssdesignawards.com/cdasites/2026/202602/20260215060424.jpg"
"1772174415-3","https://www.cssdesignawards.com/wotd-award-winners","OceanX: 2025 Year in Review","https://www.cssdesignawards.com/cdasites/2026/202602/20260212123340.jpg"
"1772174415-4","https://www.cssdesignawards.com/wotd-award-winners","Fourmula AI","https://www.cssdesignawards.com/cdasites/2026/202602/20260212104010.jpg"
"1772174415-5","https://www.cssdesignawards.com/wotd-award-winners","V&M Devs","https://www.cssdesignawards.com/cdasites/2026/202602/20260212013446.jpg"
"1772174415-6","https://www.cssdesignawards.com/wotd-award-winners","Siempreric","https://www.cssdesignawards.com/cdasites/2026/202602/20260210063550.jpg"
"1772174415-7","https://www.cssdesignawards.com/wotd-award-winners","PocketChange","https://www.cssdesignawards.com/cdasites/2026/202602/20260213000538.jpg"
"1772174415-8","https://www.cssdesignawards.com/wotd-award-winners","Lightship","https://www.cssdesignawards.com/cdasites/2026/202602/20260210063527.jpg"
"1772174415-9","https://www.cssdesignawards.com/wotd-award-winners","Outsource Consultants","https://www.cssdesignawards.com/cdasites/2026/202602/20260208121450.jpg"
"1772174415-10","https://www.cssdesignawards.com/wotd-award-winners","The Renaissance Edition","https://www.cssdesignawards.com/cdasites/2026/202602/20260207013916.jpg"
"1772174415-11","https://www.cssdesignawards.com/wotd-award-winners","The Way to Dream","https://www.cssdesignawards.com/cdasites/2026/202602/20260206013657.jpg"
"1772174415-12","https://www.cssdesignawards.com/wotd-award-winners","Good Life Meds","https://www.cssdesignawards.com/cdasites/2026/202602/20260205061230.jpg"
"1772174415-13","https://www.cssdesignawards.com/wotd-award-winners","Stress Release Microsite","https://www.cssdesignawards.com/cdasites/2026/202602/20260207013909.jpg"
"1772174415-14","https://www.cssdesignawards.com/wotd-award-winners","LITESHOP2","https://www.cssdesignawards.com/cdasites/2026/202602/20260203105529.jpg"
"1772174415-15","https://www.cssdesignawards.com/wotd-award-winners","MoMoney","https://www.cssdesignawards.com/cdasites/2026/202602/20260204010545.jpg"
"1772174415-16","https://www.cssdesignawards.com/wotd-award-winners","Pimpan","https://www.cssdesignawards.com/cdasites/2026/202602/20260203015156.jpg"
"1772174415-17","https://www.cssdesignawards.com/wotd-award-winners","Foudre, Human Social Club","https://www.cssdesignawards.com/cdasites/2026/202602/20260203015211.jpg"
"1772174415-18","https://www.cssdesignawards.com/wotd-award-winners","The Camel Fabric Game","https://www.cssdesignawards.com/cdasites/2026/202602/20260202120633.jpg"
